 month caisson hours
200 2015-05-01 1 103810
201 1998-10-01 2 60872
202 1998-11-01 2 76955
203 1998-12-01 2 62245
204 1999-01-01 2 63046
205 1999-02-01 2 63761
206 1999-03-01 2 80451
207 1999-04-01 2 64758
208 1999-05-01 2 65169
209 1999-06-01 2 81926
210 1999-07-01 2 65789
211 1999-08-01 2 82550
212 1999-09-01 2 66505
213 1999-10-01 2 67061
214 1999-11-01 2 67713
215 1999-12-01 2 85540
216 2000-01-01 2 69083
217 2000-02-01 2 87283
218 2000-03-01 2 70993
219 2000-04-01 2 71780
220 2000-05-01 2 90415
221 2000-06-01 2 72771
222 2000-07-01 2 73101
223 2000-08-01 2 91782
224 2000-09-01 2 73839
225 2000-10-01 2 74287
226 2000-11-01 2 93510
227 2000-12-01 2 75309
228 2001-01-01 2 94698
229 2001-02-01 2 76287
230 2001-03-01 2 76690
231 2001-04-01 2 76964
232 2001-05-01 2 96643
233 2001-06-01 2 77570
234 2001-07-01 2 77844
235 2001-08-01 2 78070
236 2001-09-01 2 78318
237 2001-10-01 2 98460
238 2001-11-01 2 79272
239 2001-12-01 2 59782
240 2002-01-01 2 20006
241 2002-02-01 2 80590
242 2002-03-01 2 80879
243 2002-04-01 2 101451
244 2002-05-01 2 81399
245 2002-06-01 2 81605
246 2002-07-01 2 81807
247 2002-08-01 2 81997
248 2002-09-01 2 82245
249 2002-10-01 2 103217
250 2002-11-01 2 62216
251 2002-12-01 2 104277
252 2003-01-01 2 83797
253 2003-02-01 2 84112
254 2003-03-01 2 105476
255 2003-04-01 2 84643
256 2003-05-01 2 84850
257 2003-06-01 2 85062
258 2003-07-01 2 106824
259 2003-08-01 2 85709
260 2003-09-01 2 107363
261 2003-10-01 2 86112
262 2003-11-01 2 86369
263 2003-12-01 2 108275
264 2004-01-01 2 86876
265 2004-02-01 2 87091
266 2004-03-01 2 109172
267 2004-04-01 2 87551
268 2004-05-01 2 109691
269 2004-06-01 2 65979
270 2004-07-01 2 88209
271 2004-08-01 2 110479
272 2004-09-01 2 88501
273 2004-10-01 2 88739
274 2004-11-01 2 111300
275 2004-12-01 2 89255
276 2005-01-01 2 111889
277 2005-02-01 2 89672
278 2005-03-01 2 89772
279 2005-04-01 2 112322
280 2005-05-01 2 89961
281 2005-06-01 2 112567
282 2005-07-01 2 90219
283 2005-08-01 2 112943
284 2005-09-01 2 113043
285 2005-10-01 2 113226
286 2005-11-01 2 113372
287 2005-12-01 2 90791
288 2006-01-01 2 113744
289 2006-02-01 2 91150
290 2006-03-01 2 114068
291 2006-04-01 2 91350
292 2006-05-01 2 114314
293 2006-06-01 2 137301
294 2006-07-01 2 91660
295 2006-08-01 2 91760
296 2006-09-01 2 114812
297 2006-10-01 2 115006
298 2006-11-01 2 115172
299 2006-12-01 2 115288
300 2007-01-01 2 115412
301 2007-02-01 2 115479
302 2007-03-01 2 138631
303 2007-04-01 2 92433
304 2007-05-01 2 115558
305 2007-06-01 2 115573
306 2007-07-01 2 92490
307 2007-08-01 2 115638
308 2007-09-01 2 92531
309 2007-10-01 2 115692
310 2007-11-01 2 138870
311 2007-12-01 2 92590
312 2008-01-01 2 115762
313 2008-02-01 2 138940
314 2008-03-01 2 138964
315 2008-04-01 2 92649
316 2008-05-01 2 115815
317 2008-06-01 2 115830
318 2008-07-01 2 69505
319 2008-08-01 2 115845
320 2008-09-01 2 115850
321 2008-10-01 2 115872
322 2008-11-01 2 92733
323 2008-12-01 2 139131
324 2009-01-01 2 92775
325 2009-02-01 2 92824
326 2009-03-01 2 92851
327 2009-04-01 2 116078
328 2009-05-01 2 92873
329 2009-06-01 2 116100
330 2009-07-01 2 116106
331 2009-08-01 2 116110
332 2009-09-01 2 92888
333 2009-10-01 2 116120
334 2009-11-01 2 116196
335 2009-12-01 2 93023
336 2010-01-01 2 46522
337 2010-02-01 2 93077
338 2010-03-01 2 116381
339 2010-04-01 2 93157
340 2010-05-01 2 116451
341 2010-06-01 2 116457
342 2010-07-01 2 116475
343 2010-08-01 2 116487
344 2010-09-01 2 116510
345 2010-10-01 2 116616
346 2010-11-01 2 116803
347 2010-12-01 2 93558
348 2011-01-01 2 117619
349 2011-02-01 2 118238
350 2011-03-01 2 94804
351 2011-04-01 2 94897
352 2011-05-01 2 118836
353 2011-06-01 2 118975
354 2011-07-01 2 95386
355 2011-08-01 2 119429
356 2011-09-01 2 119631
357 2011-10-01 2 119917
358 2011-11-01 2 96069
359 2011-12-01 2 120238
360 2012-01-01 2 120479
361 2012-02-01 2 144734
362 2012-03-01 2 96716
363 2012-04-01 2 121053
364 2012-05-01 2 96984
365 2012-06-01 2 97344
366 2012-07-01 2 121932
367 2012-08-01 2 122187
368 2012-09-01 2 97930
369 2012-10-01 2 122708
370 2012-11-01 2 147488
371 2012-12-01 2 123158
372 2013-01-01 2 123379
373 2013-02-01 2 98880
374 2013-03-01 2 98964
375 2013-04-01 2 123771
376 2013-05-01 2 123863
377 2013-06-01 2 99151
378 2013-07-01 2 124018
379 2013-08-01 2 124081
380 2013-09-01 2 124204
381 2013-10-01 2 124362
382 2013-11-01 2 124537
383 2013-12-01 2 99768
384 2014-01-01 2 124898
385 2014-02-01 2 100086
386 2014-03-01 2 125361
387 2014-04-01 2 125458
388 2014-05-01 2 100492
389 2014-06-01 2 125713
390 2014-07-01 2 125793
391 2014-08-01 2 100710
392 2014-09-01 2 126011
393 2014-10-01 2 126157
394 2014-11-01 2 101075
395 2014-12-01 2 126490
396 2015-01-01 2 101262
397 2015-02-01 2 126655
398 2015-03-01 2 126768
399 2015-04-01 2 126842
400 2015-05-01 2 101530
401 1998-10-01 3 283926
402 1998-11-01 3 355611
403 1998-12-01 3 285078
404 1999-01-01 3 285624
405 1999-02-01 3 286222
406 1999-03-01 3 358487
407 1999-04-01 3 287241
408 1999-05-01 3 287743
409 1999-06-01 3 360472
410 1999-07-01 3 288783
411 1999-08-01 3 361612
412 1999-09-01 3 290733
413 1999-10-01 3 292405
414 1999-11-01 3 293331
415 1999-12-01 3 367410
416 2000-01-01 3 294406
417 2000-02-01 3 368663
418 2000-03-01 3 295583
419 2000-04-01 3 296001
420 2000-05-01 3 370546
421 2000-06-01 3 296817
422 2000-07-01 3 297144
423 2000-08-01 3 371910
424 2000-09-01 3 297930
425 2000-10-01 3 298335
426 2000-11-01 3 373473
427 2000-12-01 3 299191
428 2001-01-01 3 374448
429 2001-02-01 3 299990
430 2001-03-01 3 300367
431 2001-04-01 3 300807
432 2001-05-01 3 376591
433 2001-06-01 3 301659
434 2001-07-01 3 302055
435 2001-08-01 3 302390
436 2001-09-01 3 302724
437 2001-10-01 3 378919
438 2001-11-01 3 303585
439 2001-12-01 3 227960
440 2002-01-01 3 76063
441 2002-02-01 3 304804
442 2002-03-01 3 305139
443 2002-04-01 3 381831
444 2002-05-01 3 305786
445 2002-06-01 3 306063
446 2002-07-01 3 306370
447 2002-08-01 3 306679
448 2002-09-01 3 307008
449 2002-10-01 3 577
450 2002-11-01 3 900
451 2002-12-01 3 2569
452 2003-01-01 3 2795
453 2003-02-01 3 3638
454 2003-03-01 3 5896
455 2003-04-01 3 5694
456 2003-05-01 3 6199
457 2003-06-01 3 6664
458 2003-07-01 3 9125
459 2003-08-01 3 7798
460 2003-09-01 3 10409
461 2003-10-01 3 8946
462 2003-11-01 3 9439
463 2003-12-01 3 12486
464 2004-01-01 3 10621
465 2004-02-01 3 11101
466 2004-03-01 3 14515
467 2004-04-01 3 12113
468 2004-05-01 3 15774
469 2004-06-01 3 9768
470 2004-07-01 3 13480
471 2004-08-01 3 17402
472 2004-09-01 3 14269
473 2004-10-01 3 14837
474 2004-11-01 3 19239
475 2004-12-01 3 15823
476 2005-01-01 3 20533
477 2005-02-01 3 16931
478 2005-03-01 3 17325
479 2005-04-01 3 22080
480 2005-05-01 3 18145
481 2005-06-01 3 23210
482 2005-07-01 3 19114
483 2005-08-01 3 24508
484 2005-09-01 3 24937
485 2005-10-01 3 25523
486 2005-11-01 3 25974
487 2005-12-01 3 21100
488 2006-01-01 3 27015
489 2006-02-01 3 22160
490 2006-03-01 3 28118
491 2006-04-01 3 22845
492 2006-05-01 3 29123
493 2006-06-01 3 35590
494 2006-07-01 3 24301
495 2006-08-01 3 24759
496 2006-09-01 3 31371
497 2006-10-01 3 32002
498 2006-11-01 3 32462
499 2006-12-01 3 32884
500 2007-01-01 3 33339
501 2007-02-01 3 33750
502 2007-03-01 3 40976
503 2007-04-01 3 27616
504 2007-05-01 3 34980
505 2007-06-01 3 35311
506 2007-07-01 3 28571
507 2007-08-01 3 36010
508 2007-09-01 3 29083
509 2007-10-01 3 36702
510 2007-11-01 3 44440
511 2007-12-01 3 29862
512 2008-01-01 3 37667
513 2008-02-01 3 45597
514 2008-03-01 3 46023
515 2008-04-01 3 30920
516 2008-05-01 3 38901
