Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,024025,1960,10,7.0,Y
IDCJAC0001,024025,1960,11,43.2,Y
IDCJAC0001,024025,1960,12,4.1,Y
IDCJAC0001,024025,1961,01,5.3,Y
IDCJAC0001,024025,1961,02,14.0,Y
IDCJAC0001,024025,1961,03,6.6,Y
IDCJAC0001,024025,1961,04,42.9,Y
IDCJAC0001,024025,1961,05,5.2,Y
IDCJAC0001,024025,1961,06,10.0,Y
IDCJAC0001,024025,1961,07,25.9,Y
IDCJAC0001,024025,1961,08,16.0,Y
IDCJAC0001,024025,1961,09,38.7,Y
IDCJAC0001,024025,1961,10,13.5,Y
IDCJAC0001,024025,1961,11,92.0,Y
IDCJAC0001,024025,1961,12,9.7,Y
IDCJAC0001,024025,1962,01,19.5,Y
IDCJAC0001,024025,1962,02,0.0,Y
IDCJAC0001,024025,1962,03,17.5,Y
IDCJAC0001,024025,1962,04,0.0,Y
IDCJAC0001,024025,1962,05,33.0,Y
IDCJAC0001,024025,1962,06,14.4,Y
IDCJAC0001,024025,1962,07,3.7,Y
IDCJAC0001,024025,1962,08,28.0,Y
IDCJAC0001,024025,1962,09,10.9,Y
IDCJAC0001,024025,1962,10,22.2,Y
IDCJAC0001,024025,1962,11,2.1,Y
IDCJAC0001,024025,1962,12,28.1,Y
IDCJAC0001,024025,1963,01,22.8,Y
IDCJAC0001,024025,1963,02,7.4,Y
IDCJAC0001,024025,1963,03,6.5,Y
IDCJAC0001,024025,1963,04,34.9,Y
IDCJAC0001,024025,1963,05,91.9,Y
IDCJAC0001,024025,1963,06,60.0,Y
IDCJAC0001,024025,1963,07,33.7,Y
IDCJAC0001,024025,1963,08,34.4,Y
IDCJAC0001,024025,1963,09,8.9,Y
IDCJAC0001,024025,1963,10,19.8,Y
IDCJAC0001,024025,1963,11,10.9,Y
IDCJAC0001,024025,1963,12,26.7,Y
IDCJAC0001,024025,1964,01,18.8,Y
IDCJAC0001,024025,1964,02,2.3,Y
IDCJAC0001,024025,1964,03,2.0,Y
IDCJAC0001,024025,1964,04,24.4,Y
IDCJAC0001,024025,1964,05,13.9,Y
IDCJAC0001,024025,1964,06,12.7,Y
IDCJAC0001,024025,1964,07,18.5,Y
IDCJAC0001,024025,1964,08,44.5,Y
IDCJAC0001,024025,1964,09,112.9,Y
IDCJAC0001,024025,1964,10,17.4,Y
IDCJAC0001,024025,1964,11,17.3,Y
IDCJAC0001,024025,1964,12,32.0,Y
IDCJAC0001,024025,1965,01,0.0,Y
IDCJAC0001,024025,1965,02,0.8,Y
IDCJAC0001,024025,1965,03,0.3,Y
IDCJAC0001,024025,1965,04,6.0,Y
IDCJAC0001,024025,1965,05,25.6,Y
IDCJAC0001,024025,1965,06,23.4,Y
IDCJAC0001,024025,1965,07,31.6,Y
IDCJAC0001,024025,1965,08,41.5,Y
IDCJAC0001,024025,1965,09,40.2,Y
IDCJAC0001,024025,1965,10,4.0,Y
IDCJAC0001,024025,1965,11,22.3,Y
IDCJAC0001,024025,1965,12,18.0,Y
IDCJAC0001,024025,1966,01,17.0,Y
IDCJAC0001,024025,1966,02,37.6,Y
IDCJAC0001,024025,1966,03,9.8,Y
IDCJAC0001,024025,1966,04,2.6,Y
IDCJAC0001,024025,1966,05,15.6,Y
IDCJAC0001,024025,1966,06,12.7,Y
IDCJAC0001,024025,1966,07,29.2,Y
IDCJAC0001,024025,1966,08,8.4,Y
IDCJAC0001,024025,1966,09,7.5,Y
IDCJAC0001,024025,1966,10,40.9,Y
IDCJAC0001,024025,1966,11,7.6,Y
IDCJAC0001,024025,1966,12,90.8,Y
IDCJAC0001,024025,1967,01,6.3,Y
IDCJAC0001,024025,1967,02,32.1,Y
IDCJAC0001,024025,1967,03,2.0,Y
IDCJAC0001,024025,1967,04,0.0,Y
IDCJAC0001,024025,1967,05,9.7,Y
IDCJAC0001,024025,1967,06,5.1,Y
IDCJAC0001,024025,1967,07,16.0,Y
IDCJAC0001,024025,1967,08,26.9,Y
IDCJAC0001,024025,1967,09,2.3,Y
IDCJAC0001,024025,1967,10,2.6,Y
IDCJAC0001,024025,1967,11,0.0,Y
IDCJAC0001,024025,1967,12,4.1,Y
IDCJAC0001,024025,1968,01,25.7,Y
IDCJAC0001,024025,1968,02,12.2,Y
IDCJAC0001,024025,1968,03,10.9,Y
IDCJAC0001,024025,1968,04,20.7,Y
IDCJAC0001,024025,1968,05,34.2,Y
IDCJAC0001,024025,1968,06,28.5,Y
IDCJAC0001,024025,1968,07,37.9,Y
IDCJAC0001,024025,1968,08,31.2,Y
IDCJAC0001,024025,1968,09,8.0,Y
IDCJAC0001,024025,1968,10,16.5,Y
IDCJAC0001,024025,1968,11,12.0,Y
IDCJAC0001,024025,1968,12,25.2,Y
IDCJAC0001,024025,1969,01,0.0,Y
IDCJAC0001,024025,1969,02,60.9,Y
IDCJAC0001,024025,1969,03,53.2,Y
IDCJAC0001,024025,1969,04,6.6,Y
IDCJAC0001,024025,1969,05,47.2,Y
IDCJAC0001,024025,1969,06,13.7,Y
IDCJAC0001,024025,1969,07,37.3,Y
IDCJAC0001,024025,1969,08,4.1,Y
IDCJAC0001,024025,1969,09,35.3,Y
IDCJAC0001,024025,1969,10,0.8,Y
IDCJAC0001,024025,1969,11,5.9,Y
IDCJAC0001,024025,1969,12,15.5,Y
IDCJAC0001,024025,1970,01,12.3,Y
IDCJAC0001,024025,1970,02,1.0,Y
IDCJAC0001,024025,1970,03,9.4,Y
IDCJAC0001,024025,1970,04,48.4,Y
IDCJAC0001,024025,1970,05,22.6,Y
IDCJAC0001,024025,1970,06,10.2,Y
IDCJAC0001,024025,1970,07,8.5,Y
IDCJAC0001,024025,1970,08,36.7,Y
IDCJAC0001,024025,1970,09,67.4,Y
IDCJAC0001,024025,1970,10,17.1,Y
IDCJAC0001,024025,1970,11,42.7,Y
IDCJAC0001,024025,1970,12,14.5,Y
IDCJAC0001,024025,1971,01,0.8,Y
IDCJAC0001,024025,1971,02,18.6,Y
IDCJAC0001,024025,1971,03,7.2,Y
IDCJAC0001,024025,1971,04,43.7,Y
IDCJAC0001,024025,1971,05,24.1,Y
IDCJAC0001,024025,1971,06,32.2,Y
IDCJAC0001,024025,1971,07,11.0,Y
IDCJAC0001,024025,1971,08,23.9,Y
IDCJAC0001,024025,1971,09,17.5,Y
IDCJAC0001,024025,1971,10,1.3,Y
IDCJAC0001,024025,1971,11,19.1,Y
IDCJAC0001,024025,1971,12,10.0,Y
IDCJAC0001,024025,1972,01,36.1,Y
IDCJAC0001,024025,1972,02,24.5,Y
IDCJAC0001,024025,1972,03,0.0,Y
IDCJAC0001,024025,1972,04,16.6,Y
IDCJAC0001,024025,1972,05,26.7,Y
IDCJAC0001,024025,1972,06,0.3,Y
IDCJAC0001,024025,1972,07,11.1,Y
IDCJAC0001,024025,1972,08,24.7,Y
IDCJAC0001,024025,1972,09,4.6,Y
IDCJAC0001,024025,1972,10,19.5,Y
IDCJAC0001,024025,1972,11,8.1,Y
IDCJAC0001,024025,1972,12,2.8,Y
IDCJAC0001,024025,1973,01,28.3,Y
IDCJAC0001,024025,1973,02,77.9,Y
IDCJAC0001,024025,1973,03,20.8,Y
IDCJAC0001,024025,1973,04,17.8,Y
IDCJAC0001,024025,1973,05,19.0,Y
IDCJAC0001,024025,1973,06,63.3,Y
IDCJAC0001,024025,1973,07,37.5,Y
IDCJAC0001,024025,1973,08,50.5,Y
IDCJAC0001,024025,1973,09,14.8,Y
IDCJAC0001,024025,1973,10,122.3,Y
IDCJAC0001,024025,1973,11,52.6,Y
IDCJAC0001,024025,1973,12,3.3,Y
IDCJAC0001,024025,1974,01,93.2,Y
IDCJAC0001,024025,1974,02,36.6,Y
IDCJAC0001,024025,1974,03,57.4,Y
IDCJAC0001,024025,1974,04,113.4,Y
IDCJAC0001,024025,1974,05,53.4,Y
IDCJAC0001,024025,1974,06,6.9,Y
IDCJAC0001,024025,1974,07,53.2,Y
IDCJAC0001,024025,1974,08,32.4,Y
IDCJAC0001,024025,1974,09,44.4,Y
IDCJAC0001,024025,1974,10,53.2,Y
IDCJAC0001,024025,1974,11,58.0,Y
IDCJAC0001,024025,1974,12,0.0,Y
IDCJAC0001,024025,1975,01,0.8,Y
IDCJAC0001,024025,1975,02,1.3,Y
IDCJAC0001,024025,1975,03,17.1,Y
IDCJAC0001,024025,1975,04,14.9,Y
IDCJAC0001,024025,1975,05,12.0,Y
IDCJAC0001,024025,1975,06,1.0,Y
IDCJAC0001,024025,1975,07,27.0,Y
IDCJAC0001,024025,1975,08,17.2,Y
IDCJAC0001,024025,1975,09,64.6,Y
IDCJAC0001,024025,1975,10,106.4,Y
IDCJAC0001,024025,1975,11,17.2,Y
IDCJAC0001,024025,1975,12,31.4,Y
IDCJAC0001,024025,1976,01,19.2,Y
IDCJAC0001,024025,1976,02,17.8,Y
IDCJAC0001,024025,1976,03,0.0,Y
IDCJAC0001,024025,1976,04,12.8,Y
IDCJAC0001,024025,1976,05,7.0,Y
IDCJAC0001,024025,1976,06,4.6,Y
IDCJAC0001,024025,1976,07,15.0,Y
IDCJAC0001,024025,1976,08,13.8,Y
IDCJAC0001,024025,1976,09,25.0,Y
IDCJAC0001,024025,1976,10,92.2,Y
IDCJAC0001,024025,1976,11,18.9,Y
IDCJAC0001,024025,1976,12,1.2,Y
IDCJAC0001,024025,1977,01,8.4,Y
IDCJAC0001,024025,1977,02,6.4,Y
IDCJAC0001,024025,1977,03,5.7,Y
IDCJAC0001,024025,1977,04,4.4,Y
IDCJAC0001,024025,1977,05,21.2,Y
IDCJAC0001,024025,1977,06,20.8,Y
IDCJAC0001,024025,1977,07,11.8,Y
IDCJAC0001,024025,1977,08,5.3,Y
IDCJAC0001,024025,1977,09,18.5,Y
IDCJAC0001,024025,1977,10,16.6,Y
IDCJAC0001,024025,1977,11,52.0,Y
IDCJAC0001,024025,1977,12,1.6,Y
IDCJAC0001,024025,1978,01,0.6,Y
IDCJAC0001,024025,1978,02,0.0,Y
