Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,024001,1939,02,63.0,Y
IDCJAC0001,024001,1939,03,4.1,Y
IDCJAC0001,024001,1939,04,2.1,Y
IDCJAC0001,024001,1939,05,23.4,Y
IDCJAC0001,024001,1939,06,24.2,Y
IDCJAC0001,024001,1939,07,18.0,Y
IDCJAC0001,024001,1939,08,27.0,Y
IDCJAC0001,024001,1939,09,11.7,Y
IDCJAC0001,024001,1939,10,12.1,Y
IDCJAC0001,024001,1939,11,56.1,Y
IDCJAC0001,024001,1939,12,0.5,Y
IDCJAC0001,024001,1940,01,17.3,Y
IDCJAC0001,024001,1940,02,7.6,Y
IDCJAC0001,024001,1940,03,1.5,Y
IDCJAC0001,024001,1940,04,62.8,Y
IDCJAC0001,024001,1940,05,10.4,Y
IDCJAC0001,024001,1940,06,1.0,Y
IDCJAC0001,024001,1940,07,21.9,Y
IDCJAC0001,024001,1940,08,9.9,Y
IDCJAC0001,024001,1940,09,20.4,Y
IDCJAC0001,024001,1940,10,5.8,Y
IDCJAC0001,024001,1940,11,10.4,Y
IDCJAC0001,024001,1940,12,14.2,Y
IDCJAC0001,024001,1941,01,105.1,Y
IDCJAC0001,024001,1941,02,6.8,Y
IDCJAC0001,024001,1941,03,8.6,Y
IDCJAC0001,024001,1941,04,3.1,Y
IDCJAC0001,024001,1941,05,2.3,Y
IDCJAC0001,024001,1941,06,34.1,Y
IDCJAC0001,024001,1941,07,43.5,Y
IDCJAC0001,024001,1941,08,18.4,Y
IDCJAC0001,024001,1941,09,8.7,Y
IDCJAC0001,024001,1941,10,38.7,Y
IDCJAC0001,024001,1941,11,14.0,Y
IDCJAC0001,024001,1941,12,6.4,Y
IDCJAC0001,024001,1942,01,12.7,Y
IDCJAC0001,024001,1942,02,11.1,Y
IDCJAC0001,024001,1942,03,0.0,Y
IDCJAC0001,024001,1942,04,30.6,Y
IDCJAC0001,024001,1942,05,41.4,Y
IDCJAC0001,024001,1942,06,18.5,Y
IDCJAC0001,024001,1942,07,42.0,Y
IDCJAC0001,024001,1942,08,33.4,Y
IDCJAC0001,024001,1942,09,43.2,Y
IDCJAC0001,024001,1942,10,17.8,Y
IDCJAC0001,024001,1942,11,15.8,Y
IDCJAC0001,024001,1942,12,12.9,Y
IDCJAC0001,024001,1943,01,6.8,Y
IDCJAC0001,024001,1943,02,23.1,Y
IDCJAC0001,024001,1943,03,0.0,Y
IDCJAC0001,024001,1943,04,8.8,Y
IDCJAC0001,024001,1943,05,3.4,Y
IDCJAC0001,024001,1943,06,5.9,Y
IDCJAC0001,024001,1943,07,2.3,Y
IDCJAC0001,024001,1943,08,15.5,Y
IDCJAC0001,024001,1943,09,18.1,Y
IDCJAC0001,024001,1943,10,20.8,Y
IDCJAC0001,024001,1943,11,12.7,Y
IDCJAC0001,024001,1943,12,23.9,Y
IDCJAC0001,024001,1944,01,1.0,Y
IDCJAC0001,024001,1944,02,7.2,Y
IDCJAC0001,024001,1944,03,1.0,Y
IDCJAC0001,024001,1944,04,5.6,Y
IDCJAC0001,024001,1944,05,26.1,Y
IDCJAC0001,024001,1944,06,3.9,Y
IDCJAC0001,024001,1944,07,12.0,Y
IDCJAC0001,024001,1944,08,5.3,Y
IDCJAC0001,024001,1944,09,4.3,Y
IDCJAC0001,024001,1944,10,14.5,Y
IDCJAC0001,024001,1944,11,19.5,Y
IDCJAC0001,024001,1944,12,23.9,Y
IDCJAC0001,024001,1945,01,3.3,Y
IDCJAC0001,024001,1945,02,1.8,Y
IDCJAC0001,024001,1945,03,0.0,Y
IDCJAC0001,024001,1945,04,0.0,Y
IDCJAC0001,024001,1945,05,17.3,Y
IDCJAC0001,024001,1945,06,34.6,Y
IDCJAC0001,024001,1945,07,13.4,Y
IDCJAC0001,024001,1945,08,10.0,Y
IDCJAC0001,024001,1945,09,6.3,Y
IDCJAC0001,024001,1945,10,33.8,Y
IDCJAC0001,024001,1945,11,33.6,Y
IDCJAC0001,024001,1945,12,28.2,Y
IDCJAC0001,024001,1946,01,51.1,Y
IDCJAC0001,024001,1946,02,58.2,Y
IDCJAC0001,024001,1946,03,17.8,Y
IDCJAC0001,024001,1946,04,4.7,Y
IDCJAC0001,024001,1946,05,18.4,Y
IDCJAC0001,024001,1946,06,27.8,Y
IDCJAC0001,024001,1946,07,22.8,Y
IDCJAC0001,024001,1946,08,9.6,Y
IDCJAC0001,024001,1946,09,7.9,Y
IDCJAC0001,024001,1946,10,9.6,Y
IDCJAC0001,024001,1946,11,33.5,Y
IDCJAC0001,024001,1946,12,26.5,Y
IDCJAC0001,024001,1947,01,1.8,Y
IDCJAC0001,024001,1947,02,47.4,Y
IDCJAC0001,024001,1947,03,40.3,Y
IDCJAC0001,024001,1947,04,16.8,Y
IDCJAC0001,024001,1947,05,3.3,Y
IDCJAC0001,024001,1947,06,23.9,Y
IDCJAC0001,024001,1947,07,33.3,Y
IDCJAC0001,024001,1947,08,15.5,Y
IDCJAC0001,024001,1947,09,47.2,Y
IDCJAC0001,024001,1947,10,36.9,Y
IDCJAC0001,024001,1947,11,16.2,Y
IDCJAC0001,024001,1947,12,22.0,Y
IDCJAC0001,024001,1948,01,1.3,Y
IDCJAC0001,024001,1948,02,0.0,Y
IDCJAC0001,024001,1948,03,0.5,Y
IDCJAC0001,024001,1948,04,33.0,Y
IDCJAC0001,024001,1948,05,6.1,Y
IDCJAC0001,024001,1948,06,14.0,Y
IDCJAC0001,024001,1948,07,7.4,Y
IDCJAC0001,024001,1948,08,13.8,Y
IDCJAC0001,024001,1948,09,6.4,Y
IDCJAC0001,024001,1948,10,37.4,Y
IDCJAC0001,024001,1948,11,13.7,Y
IDCJAC0001,024001,1948,12,16.5,Y
IDCJAC0001,024001,1949,01,0.3,Y
IDCJAC0001,024001,1949,02,24.9,Y
